variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,ss,85.0,3.6,0xC0,557.7765,279.879,38.06753942845396,ss_T+085C_V3p6_code0xC0.log
as-committed,fs,-40.0,3.0,0xC0,275.4228,216.893,43.99578520377748,fs_T-040C_V3p0_code0xC0.log
as-committed,fs,-40.0,3.3,0xC0,585.3113,256.014,47.36659494574749,fs_T-040C_V3p3_code0xC0.log
as-committed,fs,-40.0,3.6,0xC0,736.7227,300.88,50.58044858282435,fs_T-040C_V3p6_code0xC0.log
as-committed,fs,27.0,3.0,0xC0,482.6423,268.541,47.33963108225497,fs_T+027C_V3p0_code0xC0.log
as-committed,fs,27.0,3.3,0xC0,598.9672,306.447,50.67267982467253,fs_T+027C_V3p3_code0xC0.log
as-committed,fs,27.0,3.6,0xC0,727.9521,348.835,53.94419742497374,fs_T+027C_V3p6_code0xC0.log
as-committed,fs,85.0,3.0,0xC0,525.4022,319.655,52.78823498049343,fs_T+085C_V3p0_code0xC0.log
as-committed,fs,85.0,3.3,0xC0,630.9622,358.233,54.05889013314434,fs_T+085C_V3p3_code0xC0.log
as-committed,fs,85.0,3.6,0xC0,746.1766,399.194,56.329761181528006,fs_T+085C_V3p6_code0xC0.log
as-committed,sf,-40.0,3.0,0xC0,87.52515,190.398,36.558526545146115,sf_T-040C_V3p0_code0xC0.log
as-committed,sf,-40.0,3.3,0xC0,165.3068,219.863,40.55092486521886,sf_T-040C_V3p3_code0xC0.log
as-committed,sf,-40.0,3.6,0xC0,719.9813,255.689,43.69638180849711,sf_T-040C_V3p6_code0xC0.log
as-committed,sf,27.0,3.0,0xC0,480.3006,243.809,40.05615873454583,sf_T+027C_V3p0_code0xC0.log
as-committed,sf,27.0,3.3,0xC0,592.9822,275.104,43.654873302643956,sf_T+027C_V3p3_code0xC0.log
as-committed,sf,27.0,3.6,0xC0,717.865,310.186,46.729998275663064,sf_T+027C_V3p6_code0xC0.log
as-committed,sf,85.0,3.0,0xC0,528.0936,295.913,42.41899403779829,sf_T+085C_V3p0_code0xC0.log
as-committed,sf,85.0,3.3,0xC0,630.3322,329.332,45.8186475022537,sf_T+085C_V3p3_code0xC0.log
as-committed,sf,85.0,3.6,0xC0,742.2954,365.32,48.85017675215203,sf_T+085C_V3p6_code0xC0.log
as-committed,rc_f,-40.0,3.0,0xC0,240.7334,258.378,51.28113085149754,rc_f_T-040C_V3p0_code0xC0.log
as-committed,rc_f,-40.0,3.3,0xC0,633.1295,298.093,55.81400540837713,rc_f_T-040C_V3p3_code0xC0.log
as-committed,rc_f,-40.0,3.6,0xC0,785.2744,343.568,59.7438660972678,rc_f_T-040C_V3p6_code0xC0.log
as-committed,rc_f,27.0,3.0,0xC0,560.7569,334.843,55.06174348605809,rc_f_T+027C_V3p0_code0xC0.log
as-committed,rc_f,27.0,3.3,0xC0,678.9565,376.063,59.426110168877116,rc_f_T+027C_V3p3_code0xC0.log
