basis,process,temp_c,vdd_v,trim_code,trim_hex,status,f_mhz,period_ns,vh_v,vl_v,t_cmp_h_ns,t_lat_h_ns,t_cmp_l_ns,t_lat_l_ns,t_fall_ns,charge_ns,dsum_ns,overshoot_mv,tstop_ns,seconds,log
surrogate,rc_s,-40,3,167,0xA7,ok,37.643888,26.5647,1.999742,0.999846,2.5856,0.4725,2.3885,0.2606,0.1091,20.7508,5.7076,137.61,1200,136.7,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T-040C_V3p0_code0xA7.log
surrogate,rc_s,-40,3.3,167,0xA7,ok,39.305051,25.4420,2.199918,1.100125,2.4765,0.4340,1.7246,0.2298,0.0916,20.4862,4.8643,144.47,1200,47.8,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T-040C_V3p3_code0xA7.log
surrogate,rc_s,-40,3.6,167,0xA7,ok,40.327125,24.7972,2.399637,1.199729,2.3762,0.4017,1.4007,0.2100,0.0749,20.3336,4.3885,150.09,1200,48.3,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T-040C_V3p6_code0xA7.log
surrogate,rc_s,27,3,167,0xA7,ok,39.720780,25.1757,1.999781,0.999863,2.4815,0.5566,2.1397,0.2879,0.1278,19.5810,5.4663,144.14,1200,45.2,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+027C_V3p0_code0xA7.log
surrogate,rc_s,27,3.3,167,0xA7,ok,41.194529,24.2751,2.199771,1.099889,2.4269,0.5148,1.6331,0.2627,0.1026,19.3375,4.8375,150.04,1200,45.8,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+027C_V3p3_code0xA7.log
surrogate,rc_s,27,3.6,167,0xA7,ok,42.220077,23.6854,2.399553,1.199650,2.3704,0.4787,1.3481,0.2419,0.0875,19.1590,4.4391,160.38,1200,47.0,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+027C_V3p6_code0xA7.log
surrogate,rc_s,85,3,167,0xA7,ok,40.914606,24.4411,1.999996,1.000118,2.3648,0.6343,2.0506,0.3171,0.1350,18.9391,5.3670,143.26,1200,45.8,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+085C_V3p0_code0xA7.log
surrogate,rc_s,85,3.3,167,0xA7,ok,42.282241,23.6506,2.199721,1.099788,2.3552,0.5829,1.6201,0.2864,0.1114,18.6948,4.8452,153.71,1200,43.3,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+085C_V3p3_code0xA7.log
surrogate,rc_s,85,3.6,167,0xA7,ok,43.293569,23.0981,2.399911,1.199979,2.3257,0.5430,1.3531,0.2661,0.0954,18.5137,4.4889,164.41,1200,46.1,sim/pvt/corners/20260922T004823Z/surrogate_rc_s_T+085C_V3p6_code0xA7.log
surrogate,sf,-40,3,117,0x75,ok,36.590943,27.3292,1.999812,0.999967,2.3667,0.4623,3.5858,0.3193,0.1119,20.4822,6.7328,136.56,1200,36.5,sim/pvt/corners/20260922T004823Z/surrogate_sf_T-040C_V3p0_code0x75.log
surrogate,sf,-40,3.3,117,0x75,ok,39.147067,25.5447,2.199668,1.099843,2.3071,0.4208,2.1786,0.2696,0.0980,20.2671,5.1768,140.32,1200,36.9,sim/pvt/corners/20260922T004823Z/surrogate_sf_T-040C_V3p3_code0x75.log
surrogate,sf,-40,3.6,117,0x75,ok,40.548711,24.6617,2.399502,1.199654,2.2372,0.3937,1.5848,0.2460,0.0801,20.1197,4.4585,150.63,1200,36.9,sim/pvt/corners/20260922T004823Z/surrogate_sf_T-040C_V3p6_code0x75.log
surrogate,sf,27,3,117,0x75,ok,39.267285,25.4665,1.999887,1.000069,2.1992,0.5444,2.9195,0.3451,0.1305,19.3312,6.0057,140.61,1200,37.5,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+027C_V3p0_code0x75.log
surrogate,sf,27,3.3,117,0x75,ok,41.242527,24.2468,2.199736,1.099919,2.1820,0.5027,2.0054,0.3042,0.1100,19.1439,4.9926,145.40,1200,41.9,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+027C_V3p3_code0x75.log
surrogate,sf,27,3.6,117,0x75,ok,42.456912,23.5533,2.399727,1.199894,2.1508,0.4711,1.5378,0.2774,0.0895,19.0250,4.4387,155.12,1200,41.4,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+027C_V3p6_code0x75.log
surrogate,sf,85,3,117,0x75,ok,40.756334,24.5361,1.999962,1.000020,2.0171,0.6209,2.6504,0.3721,0.1446,18.7318,5.6605,129.88,1200,40.5,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+085C_V3p0_code0x75.log
surrogate,sf,85,3.3,117,0x75,ok,42.450876,23.5566,2.199719,1.099898,2.0416,0.5680,1.9508,0.3333,0.1209,18.5419,4.8928,149.60,1200,43.1,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+085C_V3p3_code0x75.log
surrogate,sf,85,3.6,117,0x75,ok,43.618998,22.9258,2.399510,1.199744,2.0430,0.5308,1.5487,0.3063,0.1026,18.3945,4.4288,161.75,1200,42.8,sim/pvt/corners/20260922T004823Z/surrogate_sf_T+085C_V3p6_code0x75.log
surrogate,ss,-40,3,179,0xB3,ok,35.311231,28.3196,1.999925,1.000062,2.6928,0.5679,5.0180,0.3560,0.1556,19.5358,8.6325,159.80,1200,133.3,sim/pvt/corners/20260922T004823Z/surrogate_ss_T-040C_V3p0_code0xB3.log
surrogate,ss,-40,3.3,179,0xB3,ok,39.254418,25.4748,2.199954,1.100100,2.6007,0.5096,2.8510,0.2910,0.1228,19.1045,6.2539,169.82,1200,36.2,sim/pvt/corners/20260922T004823Z/surrogate_ss_T-040C_V3p3_code0xB3.log
surrogate,ss,-40,3.6,179,0xB3,ok,41.380617,24.1659,2.399739,1.199858,2.5036,0.4704,2.0147,0.2584,0.1053,18.8131,5.2473,174.82,1200,35.2,sim/pvt/corners/20260922T004823Z/surrogate_ss_T-040C_V3p6_code0xB3.log
surrogate,ss,27,3,179,0xB3,ok,38.370345,26.0618,1.999928,0.999996,2.5481,0.6712,3.8133,0.3749,0.1780,18.4763,7.4075,160.97,1200,34.9,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+027C_V3p0_code0xB3.log
surrogate,ss,27,3.3,179,0xB3,ok,41.347350,24.1853,2.199865,1.099963,2.5025,0.6083,2.5193,0.3252,0.1460,18.0920,5.9539,171.70,1200,34.9,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+027C_V3p3_code0xB3.log
surrogate,ss,27,3.6,179,0xB3,ok,43.249107,23.1219,2.399764,1.199883,2.4464,0.5604,1.8979,0.2944,0.1200,17.8034,5.1992,182.51,1200,36.3,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+027C_V3p6_code0xB3.log
surrogate,ss,85,3,179,0xB3,ok,39.985814,25.0089,1.999850,0.999973,2.4009,0.7521,3.3501,0.4014,0.1960,17.9080,6.9036,160.49,1200,33.3,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+085C_V3p0_code0xB3.log
surrogate,ss,85,3.3,179,0xB3,ok,42.504595,23.5269,2.199884,1.100052,2.3989,0.6833,2.3920,0.3547,0.1602,17.5349,5.8282,173.87,1200,33.6,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+085C_V3p3_code0xB3.log
surrogate,ss,85,3.6,179,0xB3,ok,44.254103,22.5968,2.399619,1.199770,2.3774,0.6310,1.8660,0.3241,0.1381,17.2579,5.1985,185.20,1200,33.8,sim/pvt/corners/20260922T004823Z/surrogate_ss_T+085C_V3p6_code0xB3.log
surrogate,tt,-40,3,113,0x71,ok,37.939331,26.3579,1.999854,1.000020,2.3579,0.4745,2.2777,0.2580,0.0896,20.9008,5.3683,127.89,1200,37.3,sim/pvt/corners/20260922T004823Z/surrogate_tt_T-040C_V3p0_code0x71.log
surrogate,tt,-40,3.3,113,0x71,ok,39.507836,25.3114,2.199813,1.099923,2.2831,0.4297,1.6165,0.2282,0.0690,20.6838,4.5573,134.50,1200,35.9,sim/pvt/corners/20260922T004823Z/surrogate_tt_T-040C_V3p3_code0x71.log
surrogate,tt,-40,3.6,113,0x71,ok,40.358728,24.7778,2.399528,1.199630,2.2117,0.4025,1.2822,0.2149,0.0558,20.6117,4.1106,144.07,1200,39.0,sim/pvt/corners/20260922T004823Z/surrogate_tt_T-040C_V3p6_code0x71.log
surrogate,tt,27,3,113,0x71,ok,40.006774,24.9958,1.999837,0.999959,2.2218,0.5635,2.0778,0.2875,0.1004,19.7424,5.1526,130.61,1200,36.1,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+027C_V3p0_code0x71.log
surrogate,tt,27,3.3,113,0x71,ok,41.336394,24.1918,2.199626,1.099790,2.1991,0.5130,1.5650,0.2623,0.0811,19.5670,4.5391,142.25,1200,37.5,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+027C_V3p3_code0x71.log
surrogate,tt,27,3.6,113,0x71,ok,42.297644,23.6420,2.399576,1.199778,2.1662,0.4798,1.2706,0.2416,0.0660,19.4185,4.1600,150.75,1200,38.0,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+027C_V3p6_code0x71.log
surrogate,tt,85,3,113,0x71,ok,41.249779,24.2426,1.999993,1.000051,1.9879,0.6408,2.0147,0.3161,0.1083,19.1758,4.9579,125.61,1200,36.4,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+085C_V3p0_code0x71.log
surrogate,tt,85,3.3,113,0x71,ok,42.432430,23.5669,2.199660,1.099913,2.0608,0.5879,1.5811,0.2864,0.0887,18.9653,4.5154,142.80,1200,37.5,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+085C_V3p3_code0x71.log
surrogate,tt,85,3.6,113,0x71,ok,43.333855,23.0766,2.399638,1.199868,2.0767,0.5444,1.3080,0.2663,0.0728,18.8087,4.1957,152.79,1200,35.4,sim/pvt/corners/20260922T004823Z/surrogate_tt_T+085C_V3p6_code0x71.log
