pass,process,fets_lib,res_lib,mimcap_lib,temp_c,vdd_v,trim_code,trim_hex,f_hz,f_mhz,period_s,status,tstop_ns,log,note
pretrim,sf,sf,res_typical,mimcap_typical,-40,3,128,0x80,3.546277e+07,35.462770,2.819859e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,-40,3.3,128,0x80,3.785181e+07,37.851810,2.641882e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,-40,3.6,128,0x80,3.913966e+07,39.139660,2.554953e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,27,3,128,0x80,3.829727e+07,38.297270,2.611152e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,27,3.3,128,0x80,4.014073e+07,40.140730,2.491235e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,27,3.6,128,0x80,4.129901e+07,41.299010,2.421366e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,85,3,128,0x80,4.003827e+07,40.038270,2.497610e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,85,3.3,128,0x80,4.162438e+07,41.624380,2.402438e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,sf,sf,res_typical,mimcap_typical,85,3.6,128,0x80,4.268668e+07,42.686680,2.342651e-08,ok,1200,sim/pvt/corners/20260922T010039Z/sf_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,-40,3,128,0x80,4.813998e+07,48.139980,2.077275e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T-040C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,-40,3.3,128,0x80,5.037989e+07,50.379890,1.984919e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T-040C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,-40,3.6,128,0x80,5.174653e+07,51.746530,1.932497e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T-040C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,27,3,128,0x80,5.097128e+07,50.971280,1.961889e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+027C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,27,3.3,128,0x80,5.294573e+07,52.945730,1.888726e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+027C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,27,3.6,128,0x80,5.432929e+07,54.329290,1.840628e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+027C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,85,3,128,0x80,5.528767e+07,55.287670,1.808721e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+085C_V3p0_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,85,3.3,128,0x80,5.554191e+07,55.541910,1.800442e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+085C_V3p3_code0x80.log,fixed mid-scale trim code 0x80
pretrim,rc_f,typical,res_ff,mimcap_ff,85,3.6,128,0x80,5.615993e+07,56.159930,1.780629e-08,ok,1200,sim/pvt/corners/20260922T010039Z/rc_f_T+085C_V3p6_code0x80.log,fixed mid-scale trim code 0x80
